source,doi,table,host,guest,NC,solvent,T_K,log_K,dG_kJ_mol,dH_kJ_mol,TdS_kJ_mol,method,orig_ref,series
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,1-propanol,3,H2O,298,,,"-7.75,-6.81",1.0,cal,8,1-alkanol
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,1-butanol,4,H2O,298,,,-10.95,-10.70,0.2,cal,8,1-alkanol
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,1-pentanol,5,H2O,298,,,-13.64,-14.92,-1.3,cal,8,1-alkanol
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,1-hexanol,6,H2O,298,,,-16.25,-18.2,-1.9,cal,8,1-alkanol
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,1-heptanol,7,H2O,298,,,-17.5,-22.8,-5.3,cal,8,1-alkanol
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,1_2-propanediol,3,H2O,298,0.48,-2.7,-2,1,cal,31,1_2-alkanediol
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,1_2-butanediol,4,H2O,298,1.11,-6.3,-7.7,-1.4,cal,31,1_2-alkanediol
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,1_2-pentanediol,5,H2O,298,1.89,-10.8,-11.5,-0.7,cal,31,1_2-alkanediol
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,1_2-hexanediol,6,H2O,298,2.27,-12.9,-14.0,-1.1,cal,31,1_2-alkanediol
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,1_3-propanediol,3,H2O,298,0.34,-1.9,-13,-11,cal,33,alpha_omega-alkanediol
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,1_4-butanediol,4,H2O,298,0.89,-5.1,-11.7,-6.6,cal,33,alpha_omega-alkanediol
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,1_5-pentanediol,5,H2O,298,1.45,-8.29,-17.4,-9.1,cal,33,alpha_omega-alkanediol
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,1_6-hexanediol,6,H2O,298,2.01,-11.4,-17.9,-6.0,cal,33,alpha_omega-alkanediol
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,1_7-heptanediol,7,H2O,298,2.50,-14.3,-22.1,-7.7,cal,33,alpha_omega-alkanediol
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,1_8-octanediol,8,H2O,298,3.08,-17.6,-22.4,-4.8,cal,33,alpha_omega-alkanediol
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,1_9-nonanediol,9,H2O,298,3.55,-20.3,-22.8,-2.4,cal,33,alpha_omega-alkanediol
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,1_10-decanediol,10,H2O,298,3.85,-22.0,-24.8,-2.7,cal,33,alpha_omega-alkanediol
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,pentylammonium,5,H2O (pH 6.9),298,1.968,-11.23,-13.6,-2.4,cal,10,alkylammonium
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,hexylammonium,6,H2O (pH 6.9),298,2.583,-14.74,-17.6,-2.9,cal,10,alkylammonium
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,heptylammonium,7,H2O (pH 6.9),298,3.03,-17.3,-19.9,-2.6,cal,10,alkylammonium
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,octylammonium,8,H2O (pH 6.9),298,3.37,-19.2,-22.0,-2.9,cal,10,alkylammonium
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,pentanoate,5,H2O (pH 6.9),298,1.90,-10.86,-11.5,-0.7,cal,9,alkanoate
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,hexanoate,6,H2O (pH 6.9),298,2.46,-14.1,-14.5,-0.4,cal,10,alkanoate
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,heptanoate,7,H2O (pH 6.9),298,2.911,-16.61,-17.7,-1.1,cal,10,alkanoate
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1α,octanoate,8,H2O (pH 6.9),298,3.39,-19.34,-20.5,-1.1,cal,9,alkanoate
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1β,cyclobutanol,4,H2O (pH 6.9),298,1.15,-6.5,3.7,10.2,cal,9,cycloalkanol
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1β,cyclopentanol,5,H2O (pH 6.9),298,2.24,-12.76,-4.56,8.2,cal,9,cycloalkanol
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1β,cyclohexanol,6,H2O (pH 6.9),298,2.838,-16.19,-6.5,9.7,cal,10,cycloalkanol
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1β,cycloheptanol,7,H2O (pH 6.9),298,3.34,-19.08,-12.37,6.7,cal,9,cycloalkanol
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1β,cyclooctanol,8,H2O (pH 6.9),298,3.64,-20.8,-16.4,4.4,cal,9,cycloalkanol
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1β,phenethylammonium,,H2O (pH 6.9),298,1.38,-7.9,-6.4,1.5,cal,13,hydroxyl_pair_A
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1β,4-(hydroxyphenethyl)ammonium,,H2O (pH 6.9),298,1.845,-10.53,-13.8,-3.4,cal,10,hydroxyl_pair_A
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1β,3-phenylpropionate,,H2O (pH 6.9),298,2.173,-12.4,-7.3,5.1,cal,10,hydroxyl_pair_B
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1β,3-(4-hydroxyphenyl)propionate,,H2O (pH 6.9),298,2.473,-14.11,-14.2,-0.1,cal,10,hydroxyl_pair_B
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1β,3-phenylpropionate,,H2O (pH 6.9),298,2.173,-12.4,-7.3,5.1,cal,10,hydroxyl_pair_C
"Rekharsky & Inoue 1998",10.1021/cr970015o,1,1β,3-(2-hydroxyphenyl)propionate,,H2O (pH 6.9),298,1.908,-10.89,-15.1,-4.2,cal,10,hydroxyl_pair_C